sebagai as
nya his
bahwa that
dia he
adalah was
untuk for
pada on
adalah are
dengan with
mereka they
menjadi be
di at
satu one
memiliki have
ini this
dari from
oleh by
hot hot
kata word
tapi but
apa what
beberapa some
adalah is
itu it
anda you
atau or
memiliki had
itu the
dari of
untuk to
dan and
sebuah a
di in
kami we
bisa can
out out
lainnya other
yang were
yang which
melakukan do
mereka their
waktu time
jika if
akan will
bagaimana how
kata said
an an
masing-masing each
memberitahu tell
tidak does
Kumpulan set
tiga three
ingin want
udara air
baik well
juga also
bermain play
kecil small
end end
menempatkan put
rumah home
baca read
tangan hand
pelabuhan port
besar large
mantra spell
tambahkan add
bahkan even
tanah land
di sini here
harus must
besar big
tinggi high
seperti such
ikuti follow
tindakan act
mengapa why
bertanya ask
laki-laki men
perubahan change
pergi went
cahaya light
jenis kind
off off
perlu need
rumah house
gambar picture
coba try
kami us
lagi again
hewan animal
titik point
ibu mother
dunia world
dekat near
membangun build
diri self
bumi earth
ayah father
apapun any
baru new
pekerjaan work
bagian part
mengambil take
mendapatkan get
tempat place
membuat made
hidup live
mana where
setelah after
kembali back
sedikit little
hanya only
putaran round
pria man
tahun year
datang came
menunjukkan show
setiap every
baik good
saya me
memberikan give
kami our
di bawah under
nama name
sangat very
melalui through
hanya just
formulir form
kalimat sentence
besar great
berpikir think
mengatakan say
membantu help
rendah low
baris line
berbeda differ
gilirannya turn
penyebab cause
banyak much
berarti mean
sebelum before
bergerak move
kanan right
anak boy
old old
terlalu too
sama same
dia she
semua all
ada there
ketika when
naik up
penggunaan use
Anda your
cara way
tentang about
banyak many
kemudian then
mereka them
menulis write
akan would
seperti like
jadi so
ini these
dia her
panjang long
membuat make
hal thing
lihat see
dia him
dua two
memiliki has
melihat look
lebih more
hari day
bisa could
pergi go
datang come
melakukan did
jumlah number
suara sound
tidak no
sebagian besar most
orang people
saya my
lebih dari over
tahu know
air water
dari than
panggilan call
pertama first
yang who
mungkin may
turun down
sisi side
berkunjung been
sekarang now
cari find
kepala head
berdiri stand
sendiri own
halaman page
harus should
negara country
ditemukan found
jawaban answer
sekolah school
tumbuh grow
penelitian study
masih still
belajar learn
tanaman plant
penutup cover
makanan food
sun sun
empat four
antara between
negara state
terus keep
mata eye
tidak pernah never
lalu last
biarkan let
pikiran thought
kota city
pohon tree
lintas cross
pertanian farm
keras hard
start start
mungkin might
cerita story
saw saw
jauh far
laut sea
menarik draw
kiri left
terlambat late
Jumlah run
sementara while
pers press
close close
malam night
nyata real
hidup life
beberapa few
utara north
book book
membawa carry
mengambil took
ilmu science
makan eat
kamar room
teman friend
mulai began
ide idea
ikan fish
gunung mountain
berhenti stop
sekali once
dasar base
mendengar hear
kuda horse
cut cut
yakin sure
menonton watch
warna color
wajah face
kayu wood
utama main
terbuka open
tampak seem
bersama-sama together
selanjutnya next
putih white
anak-anak children
mulai begin
mendapat got
berjalan walk
contoh example
kemudahan ease
kertas paper
kelompok group
selalu always
musik music
mereka those
baik both
mark mark
sering often
surat letter
sampai until
mil mile
sungai river
mobil car
kaki feet
perawatan care
kedua second
cukup enough
polos plain
gadis girl
biasa usual
muda young
siap ready
atas above
pernah ever
merah red
daftar list
meskipun though
merasa feel
pembicaraan talk
burung bird
segera soon
tubuh body
anjing dog
keluarga family
langsung direct
berpose pose
meninggalkan leave
lagu song
mengukur measure
pintu door
produk product
hitam black
pendek short
angka numeral
kelas class
angin wind
pertanyaan question
terjadi happen
lengkap complete
kapal ship
daerah area
setengah half
batu rock
rangka order
api fire
selatan south
masalah problem
piece piece
mengatakan told
tahu knew
lulus pass
